row_label,0:<blank>,1:<blank>,2:<blank>,3:<blank>,4:<blank>,5:<blank>,6:<blank>,7:<blank>,8:This,9:sentence,10::,"11:""",12:the,13:notificati…,14:was,15:first,16:reported,17:fr,18:iday,19:by,20:ms,21:nb,22:c,23:.,"24:""",25:means,26:in,27:one,28:word,"29::"""
L19-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.83163983,0.00484311,0.00841485,0.00401469,0.00799444,0.00304073,0.00771722,0.00048490,0.00206210,0.00593952,0.02186540,0.01109294,0.00428995,0.04994440,0.02211197,0.00340870,0.00163720,0.00207878,0.00079872,0.00662052,0.00000000,0.00000000,0.00000000
L19-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.82457405,0.00172482,0.04340774,0.01298780,0.00558607,0.00115767,0.01311352,0.00084422,0.00199349,0.00674891,0.01740868,0.00888082,0.00503272,0.02217824,0.00929858,0.00246466,0.00335617,0.00157320,0.00143918,0.00243824,0.01379116,0.00000000,0.00000000
L19-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.64868736,0.01256366,0.02861287,0.01820971,0.01579690,0.07762849,0.05665348,0.00584303,0.00733984,0.00944223,0.05680269,0.00377208,0.00504716,0.02884456,0.00238731,0.00111700,0.00260193,0.00311472,0.00389889,0.00458144,0.00495916,0.00209548,0.00000000
"L19-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.13233574,0.00170396,0.00298012,0.00205546,0.00473905,0.04013266,0.24983983,0.02038977,0.05492943,0.32602602,0.04277673,0.02308930,0.01289772,0.05309272,0.02041635,0.00437849,0.00313867,0.00225269,0.00041843,0.00055214,0.00062877,0.00013280,0.00109315
L19-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.57220747,0.00574284,0.02095340,0.00993130,0.00982756,0.03386542,0.08847178,0.00862135,0.02106684,0.07808509,0.04745489,0.01733948,0.00835478,0.04702436,0.01316485,0.00321558,0.00276723,0.00269917,0.00182803,0.00283847,0.00387582,0.00044566,0.00021863
L20-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.29613757,0.00655284,0.00463902,0.01293136,0.00948130,0.03040648,0.24876878,0.08217348,0.03816269,0.13006541,0.02113064,0.02850989,0.02915339,0.00869563,0.00285530,0.01195336,0.00625342,0.02133853,0.01079088,0.00000000,0.00000000,0.00000000,0.00000000
L20-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.68215692,0.00020872,0.00056259,0.00403330,0.00238761,0.00670481,0.16484010,0.04372100,0.02195888,0.02927206,0.00621135,0.01303631,0.00443901,0.00368125,0.00068746,0.00213327,0.00130505,0.00859626,0.00270509,0.00135898,0.00000000,0.00000000,0.00000000
L20-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.81591803,0.00137248,0.00323827,0.00752612,0.00434200,0.00247077,0.06115711,0.01507503,0.00919541,0.03941865,0.00157141,0.01111294,0.00960175,0.00101328,0.00037106,0.00278286,0.00224339,0.00753471,0.00174497,0.00059237,0.00171738,0.00000000,0.00000000
L20-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.65683448,0.00658436,0.00679136,0.02218547,0.01270936,0.01654505,0.03763736,0.02975408,0.00900964,0.04713690,0.00709787,0.00818903,0.02033149,0.00314193,0.00098990,0.00588038,0.00717693,0.03556046,0.04808903,0.00625183,0.00461082,0.00749210,0.00000000
"L20-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.27882999,0.00118715,0.00198849,0.00483736,0.00619023,0.01980986,0.18865694,0.08650748,0.05647155,0.22774528,0.00896425,0.05629307,0.02020700,0.00768908,0.00206053,0.00793189,0.00406707,0.00832975,0.00481677,0.00195149,0.00059931,0.00023761,0.00462778
L20-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.54597540,0.00318111,0.00344395,0.01030272,0.00702210,0.01518739,0.14021206,0.05144622,0.02695963,0.09472766,0.00899510,0.02342825,0.01674652,0.00484424,0.00139285,0.00613635,0.00420917,0.01627194,0.01362935,0.00203094,0.00138550,0.00154594,0.00092556
L21-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.72726560,0.00193419,0.01119346,0.00495666,0.00259671,0.01072292,0.02909343,0.00397755,0.01015467,0.07280347,0.01354467,0.04005147,0.00498502,0.04572977,0.00330586,0.00595814,0.00397665,0.00441539,0.00333425,0.00000000,0.00000000,0.00000000,0.00000000
L21-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.92048615,0.00051482,0.00185146,0.00079023,0.00041647,0.00164964,0.02035480,0.00046514,0.00076205,0.01075614,0.00093466,0.00573016,0.00130800,0.01816998,0.00632359,0.00650588,0.00193434,0.00054058,0.00026746,0.00023850,0.00000000,0.00000000,0.00000000
L21-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.93320680,0.00076062,0.00482929,0.00128228,0.00052825,0.00121545,0.00296209,0.00072640,0.00075956,0.01469855,0.00209748,0.00601810,0.00253970,0.00885040,0.00159030,0.01045361,0.00380174,0.00083450,0.00059892,0.00023395,0.00201199,0.00000000,0.00000000
L21-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.86580259,0.00224749,0.00610620,0.00352772,0.00191607,0.00976398,0.01561498,0.00204129,0.00379090,0.03523226,0.01663689,0.00710701,0.00232776,0.01002766,0.00078874,0.00198339,0.00224234,0.00211929,0.00212598,0.00075298,0.00072638,0.00711808,0.00000000
"L21-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.70363945,0.00131969,0.00047602,0.00129610,0.00191739,0.02031690,0.01413781,0.00509989,0.01679903,0.13493958,0.01182765,0.01967553,0.00902588,0.04056720,0.00383451,0.00636506,0.00202767,0.00183198,0.00074826,0.00080379,0.00108963,0.00132386,0.00093707
