row_label,0:<blank>,1:<blank>,2:<blank>,3:<blank>,4:<blank>,5:<blank>,6:<blank>,7:<blank>,8:This,9:sentence,10::,"11:""",12:the,13:notificati…,14:was,15:first,16:reported,17:fr,18:iday,19:by,20:ms,21:nb,22:c,23:.,"24:""",25:means,26:in,27:one,28:word,"29::"""
means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.73680971,0.00521485,0.00861082,0.01218715,0.01395557,0.01695279,0.03423573,0.01497493,0.02208778,0.02223525,0.01405449,0.03290218,0.00988523,0.01599006,0.00587447,0.00956186,0.00719793,0.01079066,0.00647853,0.00000000,0.00000000,0.00000000,0.00000000
in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.84452733,0.00385405,0.00607995,0.00500188,0.00543047,0.00374924,0.01519870,0.00457919,0.00837416,0.01305629,0.00520963,0.02041288,0.01108496,0.01354480,0.00776405,0.00935792,0.00732748,0.00660373,0.00391548,0.00492782,0.00000000,0.00000000,0.00000000
one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.88773943,0.00239249,0.01421479,0.01047896,0.00696739,0.00177642,0.00565110,0.00156674,0.00200539,0.00906013,0.00347817,0.01277432,0.00666454,0.00416075,0.00275426,0.00464900,0.00523737,0.00791611,0.00505622,0.00149597,0.00396045,0.00000000,0.00000000
word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.84698200,0.00506767,0.00678262,0.00935327,0.00664227,0.01131938,0.01480835,0.00447067,0.00721559,0.01135229,0.00853137,0.00825500,0.00926898,0.00536370,0.00154559,0.00167686,0.00496960,0.00766495,0.00796052,0.00325272,0.00220892,0.01530770,0.00000000
":""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.61431469,0.00371061,0.00187422,0.00427555,0.01170092,0.06915006,0.04309118,0.03259091,0.02918946,0.05196508,0.00966020,0.04132425,0.01467750,0.01654709,0.01112802,0.00980183,0.00680058,0.00731293,0.00811491,0.00240357,0.00103095,0.00124293,0.00809257
mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.78607463,0.00404794,0.00751248,0.00825936,0.00893932,0.02058958,0.02259701,0.01163649,0.01377448,0.02153381,0.00818677,0.02313373,0.01031624,0.01112128,0.00581328,0.00700949,0.00630659,0.00805768,0.00630513,0.00241602,0.00144006,0.00331013,0.00161851
