row_label,0:<blank>,1:<blank>,2:<blank>,3:<blank>,4:<blank>,5:<blank>,6:<blank>,7:<blank>,8:<blank>,9:<blank>,10:This,11:sentence,12::,"13:""",14:mo,15:ore,16:had,17:no,18:immediate,19:comment,20:t,21:ues,22:day,23:.,"24:""",25:means,26:in,27:one,28:word,"29::"""
L8-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99605656,0.00030527,0.00004438,0.00117587,0.00062584,0.00032579,0.00006412,0.00018701,0.00003260,0.00000953,0.00024053,0.00016457,0.00000451,0.00013086,0.00011238,0.00006121,0.00045897,0.00000000,0.00000000,0.00000000,0.00000000
L8-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99820733,0.00059442,0.00001510,0.00007843,0.00005069,0.00000221,0.00004634,0.00000033,0.00000207,0.00001304,0.00008033,0.00000142,0.00002985,0.00004045,0.00000952,0.00012580,0.00000860,0.00069418,0.00000000,0.00000000,0.00000000
L8-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99803728,0.00020673,0.00035473,0.00004204,0.00001269,0.00001135,0.00008059,0.00000020,0.00000097,0.00058103,0.00017142,0.00000037,0.00000555,0.00001891,0.00021341,0.00016514,0.00002267,0.00000022,0.00007464,0.00000000,0.00000000
L8-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99384910,0.00008905,0.00003788,0.00057259,0.00009384,0.00003151,0.00006535,0.00046286,0.00002859,0.00000583,0.00001000,0.00002498,0.00000830,0.00003062,0.00093740,0.00209123,0.00162608,0.00001875,0.00000073,0.00001539,0.00000000
"L8-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.82258731,0.00030215,0.00079774,0.00002832,0.00118786,0.17004207,0.00032551,0.00122679,0.00001501,0.00007710,0.00002339,0.00000769,0.00000137,0.00000487,0.00012927,0.00019833,0.00291322,0.00005666,0.00000097,0.00000391,0.00007043
L8-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.96174752,0.00029953,0.00024997,0.00037945,0.00039419,0.03408258,0.00011638,0.00037544,0.00001585,0.00013731,0.00010514,0.00003981,0.00000992,0.00004514,0.00028040,0.00052834,0.00100591,0.00015396,0.00001527,0.00000386,0.00001409
L11-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.98475140,0.00084663,0.00003900,0.00317523,0.00414173,0.00116969,0.00214430,0.00043463,0.00003554,0.00010388,0.00026123,0.00072942,0.00028292,0.00050664,0.00030003,0.00072499,0.00035265,0.00000000,0.00000000,0.00000000,0.00000000
L11-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99738991,0.00058359,0.00009797,0.00025103,0.00024515,0.00006354,0.00043793,0.00001349,0.00000327,0.00007185,0.00008519,0.00000478,0.00014465,0.00008418,0.00002795,0.00007264,0.00000967,0.00041334,0.00000000,0.00000000,0.00000000
L11-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99819517,0.00032280,0.00041098,0.00011800,0.00001933,0.00000389,0.00009450,0.00001005,0.00000016,0.00018433,0.00011855,0.00000096,0.00001589,0.00002562,0.00003204,0.00002769,0.00000959,0.00000105,0.00040935,0.00000000,0.00000000
L11-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99119723,0.00046807,0.00002691,0.00351170,0.00061602,0.00004700,0.00025284,0.00008807,0.00000220,0.00003997,0.00021619,0.00008063,0.00026656,0.00017068,0.00056929,0.00033556,0.00023157,0.00011738,0.00031990,0.00144219,0.00000000
"L11-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.91020834,0.00223684,0.00076503,0.00091318,0.01133180,0.05959083,0.01003828,0.00166665,0.00011466,0.00082330,0.00004310,0.00002129,0.00003619,0.00001710,0.00003218,0.00056512,0.00053243,0.00006234,0.00016296,0.00008289,0.00075546
L11-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.97634841,0.00089158,0.00026798,0.00159383,0.00327081,0.01217499,0.00259357,0.00044258,0.00003117,0.00024467,0.00014485,0.00016742,0.00014924,0.00016085,0.00019230,0.00034520,0.00022718,0.00011882,0.00017844,0.00030502,0.00015109
L13-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.91972417,0.00528278,0.00656736,0.01076383,0.00653803,0.01015020,0.00742704,0.00060260,0.00009487,0.00050892,0.00076760,0.00028739,0.00023601,0.00057204,0.00270064,0.00991033,0.01786623,0.00000000,0.00000000,0.00000000,0.00000000
L13-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.97097868,0.00242005,0.01404136,0.00254621,0.00047976,0.00078461,0.00299683,0.00003476,0.00001232,0.00034359,0.00062778,0.00010558,0.00025305,0.00033553,0.00052130,0.00019600,0.00225972,0.00106301,0.00000000,0.00000000,0.00000000
L13-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.96109462,0.00279937,0.00807618,0.00931866,0.00109845,0.00096022,0.00296843,0.00003473,0.00002522,0.00140967,0.00349093,0.00019723,0.00137595,0.00140465,0.00171099,0.00080486,0.00113236,0.00008531,0.00201226,0.00000000,0.00000000
L13-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.94687980,0.00485464,0.00310307,0.01299219,0.00340657,0.00453415,0.00451127,0.00086838,0.00035157,0.00099949,0.00220168,0.00101671,0.00024791,0.00038499,0.00124505,0.00280582,0.00284972,0.00127205,0.00014091,0.00533391,0.00000000
"L13-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.46971667,0.01703853,0.01521865,0.00972985,0.01164546,0.13868944,0.14976974,0.01340402,0.00514650,0.01334425,0.00803079,0.00526611,0.00218114,0.00482070,0.01212161,0.08289190,0.01012198,0.02332696,0.00100214,0.00171485,0.00481868
L13-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.85367879,0.00647907,0.00940132,0.00907015,0.00463365,0.03102373,0.03353466,0.00298890,0.00112610,0.00332118,0.00302376,0.00137461,0.00085881,0.00150358,0.00365992,0.01932178,0.00684600,0.00514946,0.00063106,0.00140975,0.00096374
L14-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.61962193,0.00413459,0.00465038,0.01683818,0.03086852,0.03954485,0.06758641,0.07474013,0.00618699,0.02410931,0.05242527,0.00711449,0.00542696,0.01170002,0.02207848,0.00680074,0.00617272,0.00000000,0.00000000,0.00000000,0.00000000
L14-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.69280666,0.00962735,0.01437013,0.01862860,0.01937281,0.00841036,0.01244322,0.01455456,0.00163231,0.01000999,0.01061618,0.00631130,0.11322135,0.04579990,0.01183760,0.00360388,0.00265207,0.00410174,0.00000000,0.00000000,0.00000000
L14-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.78658372,0.00463754,0.00743886,0.01177822,0.00956783,0.00157984,0.00191899,0.00355123,0.00093990,0.00715806,0.01114576,0.00736642,0.08451904,0.03930091,0.01141119,0.00488875,0.00272436,0.00096180,0.00252754,0.00000000,0.00000000
L14-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.86264068,0.00293343,0.00387608,0.00708432,0.00720723,0.01739023,0.02227127,0.02073613,0.00249241,0.00541735,0.01365252,0.00246117,0.00141213,0.00179422,0.00704594,0.00385479,0.00115106,0.00284133,0.00141068,0.01232700,0.00000000
"L14-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.18625066,0.01096380,0.01077764,0.04103252,0.13496241,0.13411821,0.14581306,0.12567535,0.01365636,0.02876619,0.05827329,0.00807196,0.00340548,0.00520499,0.04308379,0.01556643,0.00389770,0.00737279,0.00434716,0.00515303,0.01360724
