row_label,0:<blank>,1:<blank>,2:<blank>,3:<blank>,4:<blank>,5:<blank>,6:<blank>,7:<blank>,8:<blank>,9:<blank>,10:This,11:sentence,12::,"13:""",14:mo,15:ore,16:had,17:no,18:immediate,19:comment,20:t,21:ues,22:day,23:.,"24:""",25:means,26:in,27:one,28:word,"29::"""
L17-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.60897642,0.00941371,0.01393316,0.01552295,0.01522683,0.01182968,0.02192608,0.00960305,0.00469247,0.02151311,0.09036924,0.00662064,0.01392821,0.01506663,0.01433841,0.01922149,0.01812420,0.01110788,0.00311705,0.07546873,0.00000000
"L17-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.47299680,0.00343163,0.00230905,0.00868252,0.01786177,0.01545139,0.07712492,0.02230950,0.00949638,0.07227089,0.13844229,0.00692161,0.02311037,0.04087399,0.01745327,0.01418206,0.00418177,0.00199386,0.00105194,0.00308308,0.04677092
L17-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.58666202,0.00889391,0.01628489,0.02449097,0.02168006,0.01066830,0.04743181,0.01547718,0.00664629,0.03393431,0.08034593,0.00638269,0.01909098,0.02212497,0.01617557,0.02513880,0.02249198,0.00881567,0.00219912,0.01571036,0.00935418
L18-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.66814655,0.02273458,0.00312923,0.01135037,0.02543532,0.01698762,0.06647700,0.04398816,0.01957579,0.01213659,0.01861988,0.00820710,0.02229346,0.01738737,0.01919133,0.01698135,0.00735834,0.00000000,0.00000000,0.00000000,0.00000000
L18-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.92905301,0.00449359,0.00645483,0.00251412,0.00312216,0.00185370,0.00535986,0.00239268,0.00269822,0.00372851,0.00583523,0.00203244,0.01281947,0.00620828,0.00285231,0.00228021,0.00412149,0.00217986,0.00000000,0.00000000,0.00000000
L18-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.83470047,0.00234663,0.11479232,0.00675591,0.00278732,0.00062661,0.00087278,0.00116857,0.00051458,0.00139568,0.01461416,0.00094700,0.00485046,0.00298313,0.00242072,0.00154554,0.00547709,0.00034542,0.00085563,0.00000000,0.00000000
L18-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.86782831,0.01036741,0.00276823,0.00559680,0.00778821,0.01927004,0.02237518,0.00479274,0.00850649,0.00421048,0.01302201,0.00652293,0.00592971,0.00324033,0.00474668,0.00351515,0.00215316,0.00299952,0.00128963,0.00307705,0.00000000
"L18-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.73847574,0.00180508,0.00035445,0.00158396,0.00626554,0.02168814,0.18181814,0.00559931,0.00448393,0.00330932,0.00659099,0.00388888,0.00498829,0.00182247,0.01238177,0.00252824,0.00011312,0.00015535,0.00023563,0.00014597,0.00176569
L18-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.80764081,0.00834946,0.02549981,0.00556023,0.00907971,0.01208522,0.05538059,0.01158829,0.00715580,0.00495612,0.01173645,0.00431967,0.01017628,0.00632832,0.00831856,0.00537010,0.00384464,0.00113603,0.00047618,0.00064460,0.00035314
L19-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.51721060,0.00986461,0.01671611,0.01791025,0.01931324,0.04371987,0.24265316,0.00764435,0.06341142,0.01380202,0.00774709,0.01426806,0.01108786,0.00165417,0.00562195,0.00413967,0.00323559,0.00000000,0.00000000,0.00000000,0.00000000
L19-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89558756,0.00424187,0.01315915,0.00572023,0.00682405,0.00777953,0.03431815,0.00019252,0.00308984,0.00266583,0.00216636,0.00329165,0.00588676,0.00070564,0.00179348,0.00232189,0.00125336,0.00900211,0.00000000,0.00000000,0.00000000
L19-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89733416,0.00161721,0.04092530,0.01333592,0.00483242,0.00343617,0.00716242,0.00017037,0.00103782,0.00149473,0.00372706,0.00218774,0.00305976,0.00073435,0.00226672,0.00132414,0.00114988,0.00221132,0.01199248,0.00000000,0.00000000
L19-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.63791794,0.01050460,0.02309724,0.01940996,0.01433092,0.07160475,0.12314174,0.00599770,0.04186469,0.00428520,0.01227215,0.01072081,0.00238710,0.00066107,0.00347163,0.00269385,0.00402028,0.00457522,0.00416969,0.00287341,0.00000000
"L19-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.35982168,0.00601578,0.00739626,0.00885056,0.01737850,0.15822953,0.29555449,0.00496409,0.02625458,0.02250833,0.04000903,0.01142411,0.01482416,0.00281605,0.01093941,0.00636926,0.00121678,0.00092475,0.00167519,0.00068912,0.00213840
L19-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.66157439,0.00644881,0.02025881,0.01304538,0.01253583,0.05695397,0.14056599,0.00379380,0.02713167,0.00895122,0.01318434,0.00837847,0.00744913,0.00131426,0.00481864,0.00336976,0.00217518,0.00334268,0.00356747,0.00071251,0.00042768
L20-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.63616419,0.01285987,0.00998969,0.02935394,0.01910484,0.03026574,0.03019447,0.06804769,0.03234733,0.00431130,0.06224139,0.00575314,0.00909718,0.00311163,0.01122146,0.02535565,0.01058050,0.00000000,0.00000000,0.00000000,0.00000000
L20-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.92726630,0.00029474,0.00160414,0.00705857,0.00378376,0.00317397,0.00737039,0.01042391,0.00398259,0.00153695,0.01214594,0.00051977,0.00331948,0.00061298,0.00226200,0.00999530,0.00314424,0.00150494,0.00000000,0.00000000,0.00000000
L20-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.93968779,0.00114718,0.00467179,0.00861651,0.00416922,0.00163451,0.00505067,0.00473903,0.00052414,0.00070051,0.01384545,0.00045214,0.00383444,0.00086927,0.00181772,0.00514522,0.00137936,0.00049453,0.00122046,0.00000000,0.00000000
L20-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.84645385,0.00390935,0.00485086,0.01580525,0.00971548,0.00560570,0.01027709,0.02474889,0.00631496,0.00088315,0.01308841,0.00119831,0.00252181,0.00075999,0.00571257,0.01794786,0.01888345,0.00358128,0.00198260,0.00575920,0.00000000
"L20-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.60341257,0.00332203,0.00357582,0.00474931,0.00548482,0.01257308,0.01999995,0.04383909,0.01261617,0.03116915,0.21506667,0.00519346,0.01066352,0.01043163,0.00589659,0.00469777,0.00296791,0.00152798,0.00041129,0.00068761,0.00171357
L20-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.79059694,0.00430663,0.00493846,0.01311672,0.00845162,0.01065060,0.01457851,0.03035972,0.01115704,0.00772021,0.06327757,0.00262337,0.00588729,0.00315710,0.00538207,0.01262836,0.00739109,0.00142174,0.00072287,0.00128936,0.00034271
L21-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.72560471,0.00387315,0.01097001,0.00942162,0.00432170,0.00985443,0.16041183,0.00752685,0.00587073,0.00355608,0.01755895,0.00895535,0.01630625,0.00146487,0.00550304,0.00486171,0.00393876,0.00000000,0.00000000,0.00000000,0.00000000
L21-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.95547485,0.00087982,0.00342396,0.00192500,0.00075521,0.00117607,0.01169438,0.00059911,0.00097530,0.00441850,0.00638693,0.00158258,0.00618733,0.00092229,0.00190695,0.00090598,0.00036484,0.00042091,0.00000000,0.00000000,0.00000000
L21-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.95661515,0.00088515,0.00653380,0.00157138,0.00058942,0.00060564,0.00555321,0.00031267,0.00050358,0.00173924,0.01153911,0.00110989,0.00344198,0.00253146,0.00229499,0.00093090,0.00050777,0.00026341,0.00247126,0.00000000,0.00000000
L21-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.84584129,0.00314864,0.00450757,0.00566619,0.00289757,0.00945748,0.07441111,0.00469442,0.00379466,0.00111142,0.01987715,0.00481240,0.00310289,0.00062140,0.00263045,0.00223046,0.00195798,0.00111740,0.00087881,0.00724079,0.00000000
"L21-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.69396174,0.00575264,0.00147029,0.00512611,0.00671771,0.03968235,0.08438399,0.01522883,0.01303325,0.00565956,0.07236941,0.00754523,0.02104884,0.00244867,0.00824936,0.00490322,0.00228864,0.00198110,0.00109612,0.00388147,0.00317158
L21-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.83549955,0.00290788,0.00538113,0.00474206,0.00305632,0.01215519,0.06729090,0.00567238,0.00483550,0.00329696,0.02554631,0.00480109,0.01001746,0.00159774,0.00411696,0.00276645,0.00181160,0.00075656,0.00088924,0.00222445,0.00063432
L24-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.74226987,0.00935242,0.02131036,0.04244193,0.02944578,0.01345674,0.01929146,0.00749141,0.01168228,0.00250264,0.00605639,0.02273790,0.02665735,0.00509555,0.00884110,0.02072206,0.01064471,0.00000000,0.00000000,0.00000000,0.00000000
L24-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.91743064,0.00161321,0.01321170,0.01146819,0.00604646,0.00126322,0.00156544,0.00045619,0.00103173,0.00102767,0.00109450,0.00302543,0.00313178,0.00127583,0.00239433,0.00886777,0.00589974,0.01919620,0.00000000,0.00000000,0.00000000
L24-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.95513016,0.00036622,0.00468072,0.00626407,0.00246717,0.00025483,0.00064059,0.00065428,0.00051999,0.00047634,0.00068334,0.00106538,0.00857536,0.00283076,0.00155086,0.00641805,0.00217578,0.00101321,0.00423285,0.00000000,0.00000000
L24-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.87636626,0.01097728,0.00837221,0.01369477,0.00926637,0.00828832,0.01099597,0.00484798,0.00551481,0.00125024,0.00428942,0.00701777,0.01090453,0.00350153,0.00496714,0.00415973,0.00440378,0.00182912,0.00152887,0.00782386,0.00000000
"L24-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.63574803,0.03761270,0.00334183,0.01154613,0.01728694,0.06815132,0.11641635,0.02038229,0.01985553,0.00183424,0.01116334,0.00751171,0.00497650,0.00179686,0.01818505,0.00385969,0.00118900,0.00646255,0.00228785,0.00090280,0.00948924
L24-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.82538899,0.01198437,0.01018336,0.01708302,0.01290254,0.01828289,0.02978196,0.00676643,0.00772087,0.00141823,0.00465740,0.00827164,0.01084910,0.00290011,0.00718769,0.00880546,0.00486260,0.00570022,0.00160991,0.00174533,0.00189785
L29-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.49018228,0.00352666,0.03494977,0.02520205,0.02040422,0.02489499,0.21106873,0.00648550,0.01584862,0.02627920,0.05174677,0.00838320,0.02576329,0.01509470,0.02085074,0.01272353,0.00659571,0.00000000,0.00000000,0.00000000,0.00000000
L29-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.92289847,0.00132762,0.01892478,0.00836318,0.00664202,0.00210587,0.00719116,0.00019977,0.00068804,0.00305957,0.00622150,0.00078350,0.00233600,0.00266838,0.00492377,0.00270413,0.00168630,0.00727597,0.00000000,0.00000000,0.00000000
L29-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.93808246,0.00113446,0.01518052,0.00751874,0.00181647,0.00062186,0.00179907,0.00023134,0.00055333,0.00952203,0.00828266,0.00014753,0.00053437,0.00221094,0.00357923,0.00077858,0.00065926,0.00018284,0.00716435,0.00000000,0.00000000
L29-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.47247988,0.00391757,0.01385457,0.02404235,0.01904901,0.04540018,0.20158520,0.00913089,0.01571504,0.03776924,0.05105934,0.00520998,0.01112473,0.00811639,0.02125181,0.00597973,0.00497128,0.00358957,0.01533911,0.03041418,0.00000000
"L29-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.14188321,0.00176018,0.00381075,0.01146956,0.02142495,0.10376411,0.57451481,0.01784731,0.02520707,0.01020994,0.03222049,0.00338630,0.00395661,0.00315513,0.01690024,0.00675519,0.00181616,0.00174931,0.00392529,0.00565832,0.00858503
L29-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.59310526,0.00233330,0.01734408,0.01531917,0.01386734,0.03535740,0.19923180,0.00677896,0.01160242,0.01736800,0.02990615,0.00358210,0.00874300,0.00624911,0.01350116,0.00578823,0.00314574,0.00255954,0.00528575,0.00721450,0.00171701
