row_label,0:<blank>,1:<blank>,2:<blank>,3:<blank>,4:<blank>,5:<blank>,6:<blank>,7:<blank>,8:<blank>,9:<blank>,10:This,11:sentence,12::,"13:""",14:dru,15:ce,16:will,17:face,18:murder,19:charges,"20:,",21:conte,22:said,23:.,"24:""",25:means,26:in,27:one,28:word,"29::"""
L14-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.64215904,0.01621109,0.02401768,0.03539506,0.04319968,0.03495240,0.02872383,0.03341131,0.01655927,0.02672079,0.01749726,0.01944101,0.00926876,0.02491108,0.01240333,0.00585313,0.00512270,0.00415253,0.00000000,0.00000000,0.00000000
L14-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.82571119,0.00759048,0.01523832,0.02618179,0.02236921,0.00576204,0.00439345,0.00830201,0.00664485,0.00444226,0.00662483,0.01227438,0.00144775,0.01496155,0.01649614,0.00858790,0.00664559,0.00131126,0.00501495,0.00000000,0.00000000
L14-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.80804443,0.00414151,0.00674929,0.01492151,0.01505762,0.03590854,0.01370817,0.02434774,0.00881849,0.01161720,0.00917954,0.00573237,0.00153184,0.00092986,0.00514541,0.00543654,0.00344141,0.00673125,0.00243249,0.01612472,0.00000000
"L14-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.14722909,0.01184783,0.01415609,0.05276239,0.14152777,0.12619537,0.05780035,0.23917858,0.02835596,0.01324375,0.02403974,0.02582549,0.00405269,0.00927410,0.03710380,0.01742212,0.00976352,0.01606176,0.00591481,0.00525587,0.01298886
L14-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.60503584,0.00923579,0.01359202,0.03104962,0.05235784,0.05874020,0.02898659,0.07672738,0.01605333,0.01497585,0.01509032,0.01601560,0.00426828,0.01095503,0.01620368,0.00864968,0.00686520,0.00565136,0.00267245,0.00427612,0.00259777
L15-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.66492993,0.01293661,0.03312291,0.01669547,0.02081073,0.04340249,0.02126507,0.01426501,0.01313225,0.03716954,0.01304181,0.01027388,0.01091397,0.00606360,0.01858599,0.03849451,0.02489618,0.00000000,0.00000000,0.00000000,0.00000000
L15-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.75443476,0.01616619,0.03423475,0.00582124,0.00651888,0.00743145,0.00710279,0.00329112,0.01071824,0.02655493,0.02970952,0.00841776,0.00405687,0.01166096,0.01590534,0.01335585,0.02155137,0.02306802,0.00000000,0.00000000,0.00000000
L15-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.83937603,0.00962946,0.06780531,0.00608910,0.00327948,0.00123687,0.00092442,0.00045536,0.00056092,0.00154699,0.00178730,0.00072997,0.00041184,0.00199089,0.00398850,0.00887289,0.02139922,0.00790904,0.02200645,0.00000000,0.00000000
L15-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.80702978,0.01188954,0.02741513,0.01325458,0.01440563,0.02016005,0.00515596,0.00500026,0.00213077,0.00569442,0.00400327,0.00486163,0.00074979,0.00121517,0.00957072,0.01518745,0.02239112,0.00647562,0.00328996,0.02011916,0.00000000
"L15-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.39779443,0.00168561,0.00152950,0.00144486,0.00450908,0.06993055,0.03258897,0.05374684,0.08915699,0.18090025,0.08227351,0.02931483,0.01832598,0.00534300,0.01895183,0.00576494,0.00089042,0.00063468,0.00045197,0.00054631,0.00421544
L15-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.69271299,0.01046148,0.03282152,0.00866105,0.00990476,0.02843228,0.01340744,0.01535172,0.02313983,0.05037323,0.02616308,0.01071961,0.00689169,0.00525472,0.01340048,0.01633513,0.01822566,0.00761747,0.00514967,0.00413309,0.00084309
L16-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.88201296,0.00721391,0.00232530,0.02083516,0.05538531,0.01686232,0.00071565,0.00013476,0.00071868,0.00421732,0.00021921,0.00199910,0.00054040,0.00002819,0.00069928,0.00042819,0.00566429,0.00000000,0.00000000,0.00000000,0.00000000
L16-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.96734846,0.00422297,0.00132306,0.00128681,0.00714877,0.00341796,0.00150231,0.00036742,0.00036543,0.00238469,0.00044954,0.00024522,0.00084060,0.00017059,0.00046981,0.00024413,0.00057336,0.00763885,0.00000000,0.00000000,0.00000000
L16-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.98420382,0.00150215,0.00589840,0.00391998,0.00074962,0.00044249,0.00076320,0.00034503,0.00019114,0.00048972,0.00011084,0.00003030,0.00008645,0.00021046,0.00004492,0.00004798,0.00005964,0.00011083,0.00079301,0.00000000,0.00000000
